id_user,id_role,login,password,birthdate,email
95d165e5-09cd-47af-aa4b-2798d74f5db1,1,samsonkomissarov,_tnu4CHgS)AQ,1958-07-27,karenthompson@example.org
d326758c-1d69-4c1b-964a-2ec1aad2a006,1,laurabrown,R!z4Cpico!2h,1945-05-17,abramovbudimir@example.org
6c6ba6f8-cf54-417f-abc3-1d738414b349,1,ostark,!4X$dmD^!d%G,1950-11-05,smithashley@example.com
785298fc-285d-48cc-83bc-9eaf475d4b97,2,xromero,+2M^CEc)ds50,1974-01-31,boleslavshashkov@example.org
b38c2d79-7861-420b-86ee-f2977d2d5bab,3,stojan_85,Wf42MexSE$#y,1992-12-18,lindawilliams@example.net
f446177c-7c7d-4027-b8e1-d67ce34382db,1,izmail_62,*z+rdY#yd1ZD,1998-12-30,agap_07@example.net
e258022b-30f1-4641-92b1-e4d598276f22,1,danielgutierrez,i)*N1A5k_waa,1975-04-13,diazroy@example.org
db6872ce-722e-4c9f-8f2e-0a220ded6754,1,silinfoma,#4NBp$718&Qw,1993-04-01,larry21@example.net
e9b81d77-5b95-4357-ac8f-c766edf538aa,1,rodriguezjonathan,+6#rmd^hPxeA,2006-06-10,grigori_75@example.net
f8dd2f64-52c7-4cd4-b4dc-8b1d4bf2d743,1,leonid_10,!XBZjn0M(c4@,1966-05-03,noskovvladlen@example.org
66623ebc-aa9c-44a6-8a15-2167e0847939,1,ernst1975,_Z&3Hcz0hbUa,1996-12-15,ckomissarova@example.org
54002d5d-4d30-487f-915d-3bfa281a3726,2,ipotapova,#N_2y(AeE2MA,1955-10-30,jennifer57@example.com
409d3f9a-f59f-4643-b69f-4aca0bd0e502,1,jessicafarley,!FBzBYuSf1QU,1997-10-03,dementevbronislav@example.org
5675e5ab-7ffa-49b7-91a0-510a32ffaaa3,1,corydavies,$0XPkjwG8DRP,1966-04-03,campbellrichard@example.com
f228c430-9158-40aa-b4c9-6aec5ec53582,1,ykulakova,0P2^dBmN!#RV,1987-06-26,wsherman@example.com
79b11d4b-2632-4e35-b9de-c47efd99bf32,1,lindsey92,3w1QOpFRm+bZ,1984-09-03,karpovpavel@example.net
3424b9c0-7c64-44e1-832f-4bb9cbfbdc61,1,blewis,9_O7FWqUA&^Q,2000-12-30,cannonlisa@example.org
2b49cf09-2964-4c81-bf15-8612e0dee112,1,gregorysandoval,@+geLrAvo)6^,1969-12-27,samolovfoti@example.com
00880209-b064-48c8-a52a-050b86bf3f67,1,dawnwilliams,oLWaUs@z&Bk0,2001-11-14,josephnorton@example.org
47bb6318-57a3-4ddf-8a5a-713a21a55ad2,1,justinperry,r86u4iVg(Si),1945-06-15,jill51@example.org
fa9e932e-5ed9-4fa0-b340-dd5affb2b761,1,strelkovalidija,E_4QHfq3WTL6,1961-10-03,mishinagafon@example.com
78b8220e-9de9-4225-9013-70cc75404bf9,1,platon_1989,IP4i0asn*L6Y,2004-02-04,visheslav73@example.org
f3b3af26-0bbb-4f13-986f-7d02599dc038,1,egorovaanzhela,02xsG8lp&&$B,1964-01-17,amber75@example.net
21a0bfc3-7b7d-4dfe-bfe8-84d082af6f01,1,denisovanonna,*_VB3l6sGC57,1992-09-23,ambermorgan@example.com
57ef4678-3d5f-4eb1-a242-1966eaff5f9c,1,onovikova,_4I7l5yM$VQs,1986-09-29,haneytara@example.org
c16b8ae0-99db-4267-887c-d140cbf164ac,1,sandra38,JoK1+BSipko@,1962-09-20,bespalovrodion@example.com
e94669ad-8b59-46a8-8227-aeeab7acc524,1,elizaveta_2021,_8i9EXtW6^*u,1951-09-05,dbates@example.net
d85324f0-eba8-4cb5-b19f-b0d8a94493dd,1,sherri51,59c@Vaud#yQo,1997-04-24,dlebedeva@example.net
ab6728c6-4145-4669-b3b6-db617bee0051,1,charles30,DI9jdOy4Q_Wi,1970-05-27,filaretgrigorev@example.net
d22cb02f-06c9-4d7a-b0dd-a3dcc323fcb4,1,bethcohen,FoBKjjH1@)T8,1950-09-14,elavrentev@example.com
72661a31-c8f7-4f42-b870-570d60582cb7,2,ekomarov,3*5P)In6^zX1,1971-12-19,suvorovradovan@example.net
3d70f399-ba4f-455b-8f8a-2662c7818caf,1,gennadimedvedev,Eq2rNZUC@8Lt,2003-05-18,georgi_75@example.org
dc9f665d-3981-40bb-95b0-71c6e3f8e857,3,hariton92,ySy4fZx*^lpi,1996-01-11,fortunat_20@example.com
77a8bda3-8269-40a2-85ed-91e1d53e750c,1,stuartmelissa,+!3nk$eh6E$M,2005-09-23,alekseevairaida@example.com
b223818d-d13d-4f24-b6aa-41370323f9ce,1,tonisanders,dHSrZ%W+^4OP,1946-06-06,mokelapin@example.net
fedb35c5-68e8-4fde-bb88-0cbf34ae2f56,1,mark36,&ZvL#AtEHu5U,1974-07-06,modestnekrasov@example.net
19105b52-c418-4812-913f-4e571faca83c,1,frol_2010,osb9Xrils&@!,1970-09-14,kirillovjaropolk@example.com
82cd9176-5062-46f5-91d6-f2d96e263eab,1,christinaoneill,&*an_Dj)z2G5,1966-05-06,alewis@example.net
ff3f0ca0-6bfa-4b62-8504-243a4fcd877e,1,stricklandnicole,@cnh1Jx$p8VE,1974-05-23,grantjennifer@example.org
55db6492-3947-48f1-b20a-e46a9728e79b,1,perezsergio,r)&7Zn5s%l0M,1987-07-27,miron_28@example.com
f6dbcf4a-0e66-483f-97c8-6a18931a06ac,1,susan77,i33MLb1*vt+e,1965-09-16,riverascott@example.org
b9cf165b-f501-4ebe-98dd-8b7648feebe9,1,cbyrd,+4N_BTga1oz_,1950-03-24,charlescole@example.com
a630ea61-2f93-4394-9edd-f1ec2da6803e,1,hmorrison,lDR4aT2y_a!X,1989-08-29,kevinroberts@example.net
ad7470be-7440-424b-aee6-7a8488fa3809,1,rittermelissa,k5n1vQ5j%k#T,2003-06-17,romanovladimir@example.net
aaf5fb75-7fa9-4d6c-80d3-5d4b2f69f145,1,linda85,lvAXmiZC$#2Q,1991-03-03,rusakovanadezhda@example.org
715aad81-911f-446f-8941-347814faf1e8,1,julian2022,*F!zp@wLE5JJ,1955-06-08,lindsay51@example.net
